[LOG] System::create                           : Header version = 2.02.21. Current version = 2.02.21.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20221 (141420), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x4000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 00000188E0946AC8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 6
[LOG] SoundI::release                          :     WOOD-003 (0000018A904600A8)
[LOG] SoundI::release                          :  (0000018A92B9E2A8)
[LOG] SoundI::release                          :     WOOD-004 (0000018A904603E8)
[LOG] SoundI::release                          :  (0000018A5EE15A28)
[LOG] SoundI::release                          :     WOOD-005 (0000018A895F4188)
[LOG] SoundI::release                          :  (0000018B7F2F2B28)
[LOG] SoundI::release                          :     WOOD-006 (0000018A895F4808)
[LOG] SoundI::release                          :  (0000018B7F2F2848)
[LOG] SoundI::release                          :     WOOD-007 (0000018A895F49A8)
[LOG] SoundI::release                          :  (0000018A5EE158B8)
[LOG] SoundI::release                          :     Stone Tunnel-001 (0000018A895F7248)
[LOG] SoundI::release                          :  (0000018A5EE15748)
[LOG] SoundI::release                          :     Stone Tunnel-002 (0000018A895F7588)
[LOG] SoundI::release                          :  (0000018A89973678)
[LOG] SoundI::release                          :     Stone Tunnel-003 (0000018A895F51C8)
[LOG] SoundI::release                          :  (0000018B7F8239F8)
[LOG] SoundI::release                          :     Stone Tunnel-004 (0000018A895F6BC8)
[LOG] SoundI::release                          :  (0000018B7A50AA18)
[LOG] SoundI::release                          :     Stone Tunnel-005 (0000018A90461288)
[LOG] SoundI::release                          :  (0000018A92B9E588)
[LOG] SoundI::release                          :     Stone Tunnel-006 (0000018A90461AA8)
[LOG] SoundI::release                          :  (0000018B18600C28)
[LOG] SoundI::release                          :     FLAME POPS-002 (0000018A8F769FF8)
[LOG] SoundI::release                          :  (0000018B186000A8)
[LOG] SoundI::release                          :     FLAME POPS-003 (0000018A8F769B18)
[LOG] SoundI::release                          :  (0000018A5EE3BB48)
[LOG] SoundI::release                          :     FLAME POPS-004 (0000018A8F769498)
[LOG] SoundI::release                          :  (0000018B18600948)
[LOG] SoundI::release                          :     FLAME POPS-005 (0000018A8F7697D8)
[LOG] SoundI::release                          :  (0000018B7F1E2338)
[LOG] SoundI::release                          :     FLAME POPS-006 (0000018A8F767F78)
[LOG] SoundI::release                          :  (0000018B186007D8)
[LOG] SoundI::release                          :     FLAME POPS-007 (0000018A8F768938)
[LOG] SoundI::release                          :  (0000018B7EFDA5B8)
[LOG] SoundI::release                          :     FLAME POPS-008 (0000018A8F7663D8)
[LOG] SoundI::release                          :  (0000018B18600218)
[LOG] SoundI::release                          :     FLAME POPS-009 (0000018A8F767A98)
[LOG] SoundI::release                          :  (0000018B7F1E1A98)
[LOG] SoundI::release                          :     FLAME BLOWING-001 (0000018A8F768FB8)
[LOG] SoundI::release                          :  (0000018B186004F8)
[LOG] SoundI::release                          :     FLAME BLOWING-002 (0000018A8F7685F8)
[LOG] SoundI::release                          :  (0000018B7EFDA2D8)
[LOG] SoundI::release                          :     FLAME BLOWING-003 (0000018A8F767278)
[LOG] SoundI::release                          :  (0000018B7F1E1928)
[LOG] SoundI::release                          :     FLAME BLOWING-004 (0000018A8F7670D8)
[LOG] SoundI::release                          :  (0000018B18600668)
[LOG] SoundI::release                          :     FLAME  CRACKLE-001 (0000018A8F769978)
[LOG] SoundI::release                          :  (0000018B18600AB8)
[LOG] SoundI::release                          :     FLAME  CRACKLE-002 (0000018A8F7692F8)
[LOG] SoundI::release                          :  (0000018B18600388)
[LOG] SoundI::release                          :     FLAME  CRACKLE-003 (0000018A8F76A198)
[LOG] SoundI::release                          :  (0000018B18600D98)
[LOG] SoundI::release                          :     FLAME  CRACKLE-004 (0000018A8F768AD8)
[LOG] SoundI::release                          :  (0000018B7EFD9E88)
[LOG] SoundI::release                          :     Item Proximity (0000018A8F7682B8)
[LOG] Thread::callback                         : FMOD Studio update thread finished.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] SystemI::close                           : Closed.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] SystemI::close                           : Closed.
